ID,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description,Genre1,Genre2,Genre3,Drama,Crime,Adventure,Romance,SciFi,War,Family,Music,Comedy,Mystery,Musical,Biography,Action,Western,Thriller,Horror,FilmNoir,Fantasy,Sport,History,clean_plot,genre_new
98,Requiem for a Dream,-2000,R,102 min,Drama,8.3,"7,44,893","7,44,893",Darren Aronofsky,"[Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans]",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drug induced utopias four coney island people shattered addictions run deep,['Drama']
99,American Beauty,-1999,R,122 min,Drama,8.3,"10,44,998","10,44,998",Sam Mendes,"[Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley]",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughters best friend.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sexually frustrated suburban father mid life crisis becoming infatuated daughters best friend,['Drama']
100,Good Will Hunting,-1997,R,126 min,"Drama, Romance",8.3,"8,32,557","8,32,557",Gus Van Sant,"[Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård]","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Drama,Romance,None,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hunting janitor gift mathematics needs help psychologist find direction life,"['Drama', ' Romance']"
101,Children of Heaven,-1997,PG,89 min,"Drama, Family, Sport",8.3,"61,635","61,635",Majid Majidi,"[Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi]","After a boy loses his sisters pair of shoes, he goes on a series of adventures in order to find them. When he cant, he tries a new way to ""win"" a new pair.",Drama,Family,Sport,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,boy loses sisters pair shoes goes series adventures order find cant tries new way win new pair,"['Drama', ' Family', ' Sport']"
102,The Bandit,-1996,TV-MA,128 min,"Crime, Drama, Thriller",8.3,"61,369","61,369",Yavuz Turgul,"[Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim]","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baran bandit released prison years searches vengeance lover,"['Crime', ' Drama', ' Thriller']"
103,Toy Story,-1995,G,81 min,"Animation, Adventure, Comedy",8.3,"8,60,272","8,60,272",John Lasseter,"[Tom Hanks, Tim Allen, Don Rickles, Jim Varney]",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room.,Animation,Adventure,Comedy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,cowboy doll profoundly threatened jealous new spaceman figure supplants top toy boys room,"['Animation', ' Adventure', ' Comedy']"
104,Braveheart,-1995,R,178 min,"Biography, Drama, History",8.3,"9,38,355","9,38,355",Mel Gibson,"[Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen]","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.",Biography,Drama,History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,secret bride executed assaulting english soldier tried rape william wallace begins revolt king edward england,"['Biography', ' Drama', ' History']"
105,Reservoir Dogs,-1992,R,99 min,"Crime, Drama, Thriller",8.3,"8,92,107","8,92,107",Quentin Tarantino,"[Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn]","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Crime,Drama,Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,simple jewelry heist goes horribly wrong surviving criminals begin suspect one police informant,"['Crime', ' Drama', ' Thriller']"
106,Full Metal Jacket,-1987,R,116 min,"Drama, War",8.3,"6,54,582","6,54,582",Stanley Kubrick,"[Matthew Modine, R. Lee Ermey, ""Vincent DOnofrio"", Adam Baldwin]",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Drama,War,None,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pragmatic u marine observes dehumanizing effects vietnam war fellow recruits brutal boot camp training bloody street fighting hue,"['Drama', ' War']"
107,Come and See,-1985,Not Rated,142 min,"Drama, War",8.3,"52,837","52,837",Elem Klimov,"[Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas]","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",Drama,War,None,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,finding old rifle young boy joins soviet resistance movement ruthless german forces experiences horrors world war ii,"['Drama', ' War']"
108,Aliens,-1986,R,137 min,"Action, Adventure, SciFi",8.3,"6,36,547","6,36,547",James Cameron,"[Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser]","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",Action,Adventure,SciFi,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,ellen ripley rescued deep salvage team hypersleep years moon nostromo visited colonized contact lost time colonial marines impressive firepower enough,"['Action', ' Adventure', ' SciFi']"
109,Amadeus,-1984,R,160 min,"Biography, Drama, History",8.3,"3,59,339","3,59,339",Milos Forman,"[F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice]","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozarts talent and claimed to have murdered him.",Biography,Drama,History,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,life success troubles wolfgang amadeus mozart told antonio salieri contemporaneous composer insanely jealous mozarts talent claimed murdered,"['Biography', ' Drama', ' History']"
110,Scarface,-1983,R,170 min,"Crime, Drama",8.3,"7,17,194","7,17,194",Brian De Palma,"[Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio]","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,miami determined cuban immigrant takes drug cartel succumbs greed,"['Crime', ' Drama']"
111,Star Wars: Episode VI - Return of the Jedi,-1983,PG,131 min,"Action, Adventure, Fantasy",8.3,"9,24,127","9,24,127",Richard Marquand,"[Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams]","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperors trap.",Action,Adventure,Fantasy,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,daring mission rescue han solo jabba hutt rebels dispatch endor destroy second death star meanwhile luke struggles help darth vader back dark side without falling emperors trap,"['Action', ' Adventure', ' Fantasy']"
112,Das Boot,-1981,R,149 min,"Adventure, Drama, Thriller",8.3,"2,25,155","2,25,155",Wolfgang Petersen,"[Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch]","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Adventure,Drama,Thriller,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,claustrophobic world wwii german u boat boredom filth sheer terror,"['Adventure', ' Drama', ' Thriller']"
113,Taxi Driver,-1976,R,114 min,"Crime, Drama",8.3,"6,98,735","6,98,735",Martin Scorsese,"[Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks]","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Crime,Drama,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mentally unstable veteran works nighttime taxi driver new york city perceived decadence sleaze fuels urge violent action attempting liberate presidential campaign worker underage prostitute,"['Crime', ' Drama']"
114,The Sting,-1973,PG,129 min,"Comedy, Crime, Drama",8.3,"2,35,178","2,35,178",George Roy Hill,"[Paul Newman, Robert Redford, Robert Shaw, Charles Durning]",Two grifters team up to pull off the ultimate con.,Comedy,Crime,Drama,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,two grifters team pull ultimate con,"['Comedy', ' Crime', ' Drama']"
115,A Clockwork Orange,-1971,R,136 min,"Crime, Drama, SciFi",8.3,"7,36,776","7,36,776",Stanley Kubrick,"[Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke]","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesnt go as planned.",Crime,Drama,SciFi,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,future sadistic gang leader imprisoned volunteers conduct aversion experiment doesnt go planned,"['Crime', ' Drama', ' SciFi']"
116,2001: A Space Odyssey,-1968,G,149 min,"Adventure, SciFi",8.3,"5,84,334","5,84,334",Stanley Kubrick,"[Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter]","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Adventure,SciFi,None,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,discovering mysterious artifact buried beneath lunar surface mankind sets quest find origins help intelligent supercomputer h l,"['Adventure', ' SciFi']"
117,For a Few Dollars More,-1965,R,132 min,Western,8.3,"2,24,357","2,24,357",Sergio Leone,"[Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mara Krupp]",Two bounty hunters with the same intentions team up to track down a Western outlaw.,Western,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,two bounty hunters intentions team track western outlaw,['Western']
118,Lawrence of Arabia,-1962,Approved,228 min,"Adventure, Biography, Drama",8.3,"2,60,090","2,60,090",David Lean,"[""Peter OToole"", Alec Guinness, Anthony Quinn, Jack Hawkins]","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Adventure,Biography,Drama,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,story e lawrence english officer successfully united led diverse often warring arab tribes world war order fight turks,"['Adventure', ' Biography', ' Drama']"
119,The Apartment,-1960,Not Rated,125 min,"Comedy, Drama, Romance",8.3,"1,57,763","1,57,763",Billy Wilder,"[Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston]","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Comedy,Drama,Romance,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,man tries rise company letting executives use apartment trysts complications romance ensue,"['Comedy', ' Drama', ' Romance']"
120,North by Northwest,-1959,Approved,136 min,"Adventure, Mystery, Thriller",8.3,"2,90,030","2,90,030",Alfred Hitchcock,"[Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis]",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Adventure,Mystery,Thriller,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,new york city advertising executive goes run mistaken government agent group foreign spies,"['Adventure', ' Mystery', ' Thriller']"
121,Vertigo,-1958,PG,128 min,"Mystery, Romance, Thriller",8.3,"3,49,865","3,49,865",Alfred Hitchcock,"[James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore]",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Mystery,Romance,Thriller,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,former police detective juggles wrestling personal demons becoming obsessed hauntingly beautiful woman,"['Mystery', ' Romance', ' Thriller']"
122,Singin in the Rain,-1952,G,103 min,"Comedy, Musical, Romance",8.3,"2,11,984","2,11,984",Stanley Donen,"[Gene Kelly, Gene Kelly, ""Donald OConnor"", Debbie Reynolds]",A silent film production company and cast make a difficult transition to sound.,Comedy,Musical,Romance,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,silent film production company cast make difficult transition sound,"['Comedy', ' Musical', ' Romance']"
123,Ikiru,-1952,Not Rated,143 min,Drama,8.3,"64,754","64,754",Akira Kurosawa,"[Takashi Shimura, Nobuo Kaneko, ""Shinichi Himori"", Haruo Tanaka]",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bureaucrat tries find meaning life discovers terminal cancer,['Drama']
124,Bicycle Thieves,-1948,Not Rated,89 min,Drama,8.3,"1,40,360","1,40,360",Vittorio De Sica,"[Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri]","In post-war Italy, a working-class mans bicycle is stolen. He and his son set out to find it.",Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,post war italy working class mans bicycle stolen son set find,['Drama']
125,Double Indemnity,-1944,Passed,107 min,"Crime, Drama, FilmNoir",8.3,"1,38,652","1,38,652",Billy Wilder,"[Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr]",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Crime,Drama,FilmNoir,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,insurance representative lets talked seductive housewife murder insurance fraud scheme arouses suspicion insurance investigator,"['Crime', ' Drama', ' FilmNoir']"
126,Citizen Kane,-1941,PG,119 min,"Drama, Mystery",8.3,"3,87,249","3,87,249",Orson Welles,"[Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead]","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; Rosebud.",Drama,Mystery,None,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,following death publishing tycoon charles foster kane reporters scramble uncover meaning final utterance rosebud,"['Drama', ' Mystery']"
127,M,-1931,Passed,99 min,"Crime, Mystery, Thriller",8.3,"1,38,402","1,38,402",Fritz Lang,"[Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke]","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Crime,Mystery,Thriller,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,police german city unable catch child murderer criminals join manhunt,"['Crime', ' Mystery', ' Thriller']"
128,Metropolis,-1927,Not Rated,153 min,"Drama, SciFi",8.3,"1,55,212","1,55,212",Fritz Lang,"[Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge]","In a futuristic city sharply divided between the working class and the city planners, the son of the citys mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",Drama,SciFi,None,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,futuristic city sharply divided working class city planners son citys mastermind falls love working class prophet predicts coming savior mediate differences,"['Drama', ' SciFi']"
129,The Kid,-1921,Passed,68 min,"Comedy, Drama, Family",8.3,"1,08,154","1,08,154",Charles Chaplin,"[Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller]","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Comedy,Drama,Family,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,tramp cares abandoned child events put relationship jeopardy,"['Comedy', ' Drama', ' Family']"
130,K.G.F: Chapter 1,-2018,Not Rated,156 min,"Action, Drama",8.2,"30,778","30,778",Prashanth Neel,"[Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois]","In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Action,Drama,None,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,fierce rebel rises brutal oppression becomes symbol hope legions downtrodden people,"['Action', ' Drama']"
131,Green Book,-2018,PG-13,130 min,"Biography, Comedy, Drama",8.2,"3,35,434","3,35,434",Peter Farrelly,"[Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco]",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Biography,Comedy,Drama,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,working class italian american bouncer becomes driver african american classical pianist tour venues american south,"['Biography', ' Comedy', ' Drama']"
132,A Silent Voice: The Movie,-2016,Not Rated,130 min,"Animation, Drama, Family",8.2,"39,373","39,373",Naoko Yamada,"[Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono]","A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",Animation,Drama,Family,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,young man ostracized classmates bullies deaf girl point moves away years later sets path redemption,"['Animation', ' Drama', ' Family']"
133,"Three Billboards Outside Ebbing, Missouri",-2017,R,115 min,"Comedy, Crime, Drama",8.2,"4,06,674","4,06,674",Martin McDonagh,"[Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones]",A mother personally challenges the local authorities to solve her daughters murder when they fail to catch the culprit.,Comedy,Crime,Drama,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,mother personally challenges local authorities solve daughters murder fail catch culprit,"['Comedy', ' Crime', ' Drama']"
134,Talvar,-2015,Not Rated,132 min,"Crime, Drama, Mystery",8.2,"29,474","29,474",Meghna Gulzar,"[Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah]",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Crime,Drama,Mystery,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,experienced investigator confronts several conflicting theories perpetrators violent double homicide,"['Crime', ' Drama', ' Mystery']"
135,Baahubali 2: The Conclusion,-2017,Not Rated,167 min,"Action, Drama",8.2,"71,814","71,814",S.S. Rajamouli,"[Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia]","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Action,Drama,None,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,shiva son bahubali learns heritage begins look answers story juxtaposed past events unfolded mahishmati kingdom,"['Action', ' Drama']"
136,Klaus,-2019,PG,96 min,"Animation, Adventure, Comedy",8.2,"72,800","72,800",Sergio Pablos,"[Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones]","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburgs new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Animation,Adventure,Comedy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,simple act kindness always sparks another even frozen faraway place smeerensburgs new postman jesper befriends toymaker klaus gifts melt age old feud deliver sleigh full holiday traditions,"['Animation', ' Adventure', ' Comedy']"
137,Drishyam,-2015,Not Rated,163 min,"Crime, Drama, Mystery",8.2,"64,797","64,797",Nishikant Kamat,"[Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor]","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Crime,Drama,Mystery,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,desperate measures taken man tries save family dark side law commit unexpected crime,"['Crime', ' Drama', ' Mystery']"
138,Queen,-2013,Not Rated,146 min,"Adventure, Comedy, Drama",8.2,"58,889","58,889",Vikas Bahl,"[Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho]",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Adventure,Comedy,Drama,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,delhi girl traditional family sets solo honeymoon marriage gets cancelled,"['Adventure', ' Comedy', ' Drama']"
139,Tangerines,-2013,Not Rated,87 min,"Drama, War",8.2,"37,151","37,151",Zaza Urushadze,"[Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi]","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Drama,War,None,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,war rages abkhazia breakaway region georgia estonian man ivo decided stay behind harvest crops tangerines bloody conflict door wounded man left behind ivo takes,"['Drama', ' War']"
140,Bhaag Milkha Bhaag,-2013,Not Rated,186 min,"Biography, Drama, Sport",8.2,"59,025","59,025",Rakeysh Omprakash Mehra,"[Farhan Akhtar, Sonam Kapoor, Pavan Malhotra, Art Malik]",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,Biography,Drama,Sport,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,truth behind ascension milkha singh scarred india pakistan partition,"['Biography', ' Drama', ' Sport']"
141,Gangs of Wasseypur,-2012,R,321 min,"Action, Crime, Drama",8.2,"77,185","77,185",Anurag Kashyap,"[Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia]","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Action,Crime,Drama,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,clash sultan shahid khan leads expulsion khan wasseypur ignites deadly blood feud spanning three generations,"['Action', ' Crime', ' Drama']"
142,Udaan,-2010,Not Rated,134 min,Drama,8.2,"41,296","41,296",Vikramaditya Motwane,"[Rajat Barmecha, Ronit Roy, Manjot Singh, Ram Kapoor]","Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,expelled school year old boy returns home abusive oppressive father,['Drama']
143,Paan Singh Tomar,-2012,Not Rated,135 min,"Action, Biography, Crime",8.2,"32,050","32,050",Tigmanshu Dhulia,"[Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya]","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Action,Biography,Crime,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,story paan singh tomar indian athlete seven time national steeplechase champion becomes one feared dacoits chambal valley retirement,"['Action', ' Biography', ' Crime']"
144,The Secret in Their Eyes,-2009,R,129 min,"Drama, Mystery, Romance",8.2,"1,86,713","1,86,713",Juan José Campanella,"[Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo]",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Drama,Mystery,Romance,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,retired legal counselor writes novel hoping find closure one past unresolved homicide cases unreciprocated love superior still haunt decades later,"['Drama', ' Mystery', ' Romance']"
145,Warrior,-2011,PG-13,140 min,"Action, Drama, Sport",8.2,"4,25,763","4,25,763",Gavin OConnor,"[Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison]","The youngest son of an alcoholic former boxer returns home, where hes trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Action,Drama,Sport,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,youngest son alcoholic former boxer returns home hes trained father competition mixed martial arts tournament path puts fighter collision course estranged older brother,"['Action', ' Drama', ' Sport']"
146,Shutter Island,-2010,R,138 min,"Mystery, Thriller",8.2,"10,89,318","10,89,318",Martin Scorsese,"[Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley]","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery,Thriller,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,u marshal investigates disappearance murderer escaped hospital criminally insane,"['Mystery', ' Thriller']"
147,Up,-2009,PG,96 min,"Animation, Adventure, Comedy",8.2,"9,07,086","9,07,086",Pete Docter,"[Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger]","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Animation,Adventure,Comedy,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,year old carl fredricksen travels paradise falls house equipped balloons inadvertently taking young stowaway,"['Animation', ' Adventure', ' Comedy']"
148,The Wolf of Wall Street,-2013,R,180 min,"Biography, Crime, Drama",8.2,"11,32,904","11,32,904",Martin Scorsese,"[Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey]","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Biography,Crime,Drama,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,based true story jordan belfort rise wealthy stock broker living high life fall involving crime corruption federal government,"['Biography', ' Crime', ' Drama']"
149,Chak de! India,-2007,Not Rated,153 min,"Drama, Family, Sport",8.2,"71,687","71,687",Shimit Amin,"[Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla]",Kabir Khan is the coach of the Indian Womens National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Drama,Family,Sport,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,kabir khan coach indian womens national hockey team dream make girls team emerge victorious odds,"['Drama', ' Family', ' Sport']"
150,There Will Be Blood,-2007,R,158 min,Drama,8.2,"4,99,788","4,99,788",Paul Thomas Anderson,"[Daniel Day-Lewis, Paul Dano, Ciarán Hinds, Martin Stringer]","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Drama,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,story family religion hatred oil madness focusing turn century prospector early days business,['Drama']
151,Pans Labyrinth,-2006,R,118 min,"Drama, Fantasy, War",8.2,"6,04,414","6,04,414",Guillermo del Toro,"[Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú]","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Drama,Fantasy,War,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,falangist spain bookish young stepdaughter sadistic army officer escapes eerie captivating fantasy world,"['Drama', ' Fantasy', ' War']"
152,V for Vendetta,-2005,R,132 min,"Action, Drama, SciFi",8.2,"10,04,935","10,04,935",James McTeigue,"[Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea]","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Action,Drama,SciFi,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,future british tyranny shadowy freedom fighter known alias v plots overthrow help young woman,"['Action', ' Drama', ' SciFi']"
