,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
92,Elite Squad 2: The Enemy Within,-2010,Not Rated,115 min,"Action, Crime, Drama            ",8,"77,947","77,947",José Padilha,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']","After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups."
93,The King's Speech,-2010,R,118 min,"Biography, Drama, History            ",8,"6,25,954","6,25,954",Tom Hooper,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer."
94,The Help,-2011,PG-13,146 min,Drama            ,8,"4,17,749","4,17,749",Tate Taylor,"['Emma Stone', 'Viola Davis', 'Octavia Spencer', 'Bryce Dallas Howard']","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis."
95,Deadpool,-2016,R,108 min,"Action, Adventure, Comedy            ",8,"8,78,171","8,78,171",Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']","A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
96,About Elly,-2009,,119 min,"Drama, Mystery, Thriller            ",8,"43,187","43,187",Asghar Farhadi,"['Golshifteh Farahani', 'Shahab Hosseini', 'Taraneh Alidoosti', ""Merila Zare'i""]",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
97,Dev.D,-2009,Not Rated,144 min,"Drama, Romance            ",8,"27,991","27,991",Anurag Kashyap,"['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin', 'Dibyendu Bhattacharya']","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
98,Ip Man,-2008,R,106 min,"Action, Biography, Drama            ",8,"2,07,018","2,07,018",Wilson Yip,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan', 'Ka Tung Lam']","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive."
99,My Name Is Khan,-2010,PG-13,165 min,Drama            ,8,"96,119","96,119",Karan Johar,"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie A. Keane']",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
100,The Breath,-2009,,128 min,"Action, Drama, Thriller            ",8,"31,110","31,110",Levent Semerci,"['Mete Horozoglu', 'Ilker Kizmaz', 'Baris Bagci', 'Özgür Eren Koç']",Story of 40-man Turkish task force who must defend a relay station.
101,Slumdog Millionaire,-2008,R,120 min,"Drama, Romance            ",8,"7,83,916","7,83,916",Danny Boyle,"['Loveleen Tandan', 'Dev Patel', 'Freida Pinto', 'Saurabh Shukla']","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
102,Black Swan,-2010,R,108 min,"Drama, Thriller            ",8,"6,83,645","6,83,645",Darren Aronofsky,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Winona Ryder']","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
103,The Avengers,-2012,PG-13,143 min,"Action, Adventure, Sci-Fi            ",8,"12,37,704","12,37,704",Joss Whedon,"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
104,Persepolis,-2007,PG-13,96 min,"Animation, Biography, Drama            ",8,"86,659","86,659",Vincent Paronnaud,"['Marjane Satrapi', 'Chiara Mastroianni', 'Catherine Deneuve', 'Gena Rowlands']",A precocious and outspoken Iranian girl grows up during the Islamic Revolution.
105,Dallas Buyers Club,-2013,R,117 min,"Biography, Drama            ",8,"4,28,077","4,28,077",Jean-Marc Vallée,"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto', 'Steve Zahn']","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
106,The Pursuit of Happyness,-2006,PG-13,117 min,"Biography, Drama            ",8,"4,35,038","4,35,038",Gabriele Muccino,"['Will Smith', 'Thandie Newton', 'Jaden Smith', 'Brian Howe']",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
107,Blood Diamond,-2006,R,143 min,"Adventure, Drama, Thriller            ",8,"4,87,684","4,87,684",Edward Zwick,"['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
108,The Bourne Ultimatum,-2007,PG-13,115 min,"Action, Mystery, Thriller            ",8,"5,96,116","5,96,116",Paul Greengrass,"['Matt Damon', 'Edgar Ramírez', 'Joan Allen', 'Julia Stiles']",Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
109,3-Iron,-2004,R,88 min,"Crime, Drama, Romance            ",8,"48,394","48,394",Ki-duk Kim,"['Seung-Yun Lee', 'Hee Jae', 'Hyuk-ho Kwon', 'Jeong-ho Choi']",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
110,Sin City,-2005,R,124 min,"Crime, Thriller            ",8,"7,32,008","7,32,008",Frank Miller,"['Robert Rodriguez', 'Quentin Tarantino', 'Mickey Rourke', 'Clive Owen']","A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption."
111,The Diving Bell and the Butterfly,-2007,PG-13,112 min,"Biography, Drama            ",8,"1,01,725","1,01,725",Julian Schnabel,"['Mathieu Amalric', 'Emmanuelle Seigner', 'Marie-Josée Croze', 'Anne Consigny']",The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
112,G.O.R.A.,-2004,,127 min,"Adventure, Comedy, Sci-Fi            ",8,"54,841","54,841",Ömer Faruk Sorak,"['Cem Yilmaz', 'Özge Özberk', 'Ozan Güven', 'Safak Sezer']",A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.
113,Ratatouille,-2007,G,111 min,"Animation, Adventure, Comedy            ",8,"6,21,753","6,21,753",Brad Bird,"['Jan Pinkava', 'Brad Garrett', 'Lou Romano', 'Patton Oswalt']",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
114,Before Sunset,-2004,R,80 min,"Drama, Romance            ",8,"2,26,953","2,26,953",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Vernon Dobtcheff', 'Louise Lemoine Torrès']","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
115,Casino Royale,-2006,PG-13,144 min,"Action, Adventure, Thriller            ",8,"5,67,906","5,67,906",Martin Campbell,"['Daniel Craig', 'Eva Green', 'Judi Dench', 'Jeffrey Wright']","After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro."
116,Kill Bill: Vol. 2,-2004,R,137 min,"Action, Crime, Thriller            ",8,"6,65,036","6,65,036",Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Michael Madsen', 'Daryl Hannah']","The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
117,The Return,-2003,Not Rated,110 min,Drama            ,8,"41,114","41,114",Andrey Zvyagintsev,"['Vladimir Garin', 'Ivan Dobronravov', 'Konstantin Lavronenko', 'Nataliya Vdovina']","In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
118,"Spring, Summer, Fall, Winter... and Spring",-2003,R,103 min,"Drama, Romance            ",8,"75,238","75,238",Ki-duk Kim,"['Ki-duk Kim', 'Yeong-su Oh', 'Jong-ho Kim', 'Young-min Kim']",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.
119,The Sea Inside,(I) (2004),PG-13,126 min,"Biography, Drama            ",8,"76,007","76,007",Alejandro Amenábar,"['Javier Bardem', 'Belén Rueda', 'Lola Dueñas', 'Mabel Rivera']","The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die."
120,Cinderella Man,-2005,PG-13,144 min,"Biography, Drama, History            ",8,"1,72,979","1,72,979",Ron Howard,"['Russell Crowe', 'Renée Zellweger', 'Craig Bierko', 'Paul Giamatti']","The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s."
121,Kal ho naa ho,-2003,Not Rated,186 min,"Comedy, Drama, Romance            ",8,"61,565","61,565",Nikkhil Advani,"['Preity Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
122,Infernal Affairs,-2002,R,101 min,"Action, Crime, Drama            ",8,"1,16,026","1,16,026",Andrew Lau,"['Alan Mak', 'Andy Lau', 'Tony Chiu-Wai Leung', 'Anthony Chau-Sang Wong']","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop."
123,Pirates of the Caribbean: The Curse of the Black Pearl,-2003,PG-13,143 min,"Action, Adventure, Fantasy            ",8,"9,98,570","9,98,570",Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley']","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
124,Big Fish,-2003,PG-13,125 min,"Adventure, Drama, Fantasy            ",8,"4,06,752","4,06,752",Tim Burton,"['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange']",A frustrated son tries to determine the fact from fiction in his dying father's life.
125,The Incredibles,-2004,PG,115 min,"Animation, Action, Adventure            ",8,"6,40,142","6,40,142",Brad Bird,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
126,My Sassy Girl,-2001,Not Rated,137 min,"Comedy, Drama, Romance            ",8,"44,482","44,482",Jae-young Kwak,"['Tae-Hyun Cha', 'Ji-Hyun Jun', 'In-mun Kim', 'Wok-suk Song']","A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train."
127,Dogville,-2003,R,178 min,"Crime, Drama            ",8,"1,34,357","1,34,357",Lars von Trier,"['Nicole Kidman', 'Paul Bettany', 'Lauren Bacall', 'Harriet Andersson']","A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
128,Vizontele,-2001,,110 min,"Comedy, Drama            ",8,32085,32085,Yilmaz Erdogan,"['Ömer Faruk Sorak', 'Yilmaz Erdogan', 'Demet Akbag', 'Altan Erkekli']","The film is about the introduction of television to a small village in southeast Anatolia in 1974. Employing a tragicomic language, it tells of the efforts of Emin who is the village idiot
"
129,Donnie Darko,-2001,R,113 min,"Drama, Mystery, Sci-Fi            ",8,"7,26,031","7,26,031",Richard Kelly,"['Jake Gyllenhaal', 'Jena Malone', 'Mary McDonnell', 'Holmes Osborne']","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes."
130,"Monsters, Inc.",-2001,G,92 min,"Animation, Adventure, Comedy            ",8,"7,91,427","7,91,427",Pete Docter,"['David Silverman', 'Lee Unkrich', 'Billy Crystal', 'John Goodman']","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think."
131,Magnolia,-1999,R,188 min,Drama            ,8,"2,83,551","2,83,551",Paul Thomas Anderson,"['Tom Cruise', 'Jason Robards', 'Julianne Moore', 'Philip Seymour Hoffman']","An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley."
132,Dancer in the Dark,-2000,R,140 min,"Crime, Drama, Musical            ",8,"99,620","99,620",Lars von Trier,"['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare']","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film."
133,Mulholland Drive,-2001,R,147 min,"Drama, Mystery, Thriller            ",8,"3,10,875","3,10,875",David Lynch,"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
134,The Straight Story,-1999,G,112 min,"Biography, Drama            ",8,"79,600","79,600",David Lynch,"['Richard Farnsworth', 'Sissy Spacek', 'Jane Galloway Heitz', 'Joseph A. Carpenter']",An old man makes a long journey by lawnmower to mend his relationship with an ill brother.
135,Perfect Blue,-1997,R,81 min,"Animation, Crime, Mystery            ",8,"53,134","53,134",Satoshi Kon,"['Junko Iwao', 'Rica Matsumoto', 'Shinpachi Tsuji', 'Masaaki Ôkura']","A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
136,The Celebration,-1998,R,105 min,Drama            ,8,"76,178","76,178",Thomas Vinterberg,"['Ulrich Thomsen', 'Henning Moritzen', 'Thomas Bo Larsen', 'Paprika Steen']","At Helge's 60th birthday party, some unpleasant family truths are revealed."
137,Central Station,-1998,R,110 min,Drama            ,8,"35,195","35,195",Walter Salles,"['Fernanda Montenegro', 'Vinícius de Oliveira', 'Marília Pêra', 'Soia Lira']","An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew."
138,The Iron Giant,-1999,PG,86 min,"Animation, Action, Adventure            ",8,"1,67,453","1,67,453",Brad Bird,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
139,Knockin' on Heaven's Door,-1997,Not Rated,87 min,"Action, Crime, Comedy            ",8,"26,871","26,871",Thomas Jahn,"['Til Schweiger', 'Jan Josef Liefers', 'Thierry van Werveke', 'Moritz Bleibtreu']","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
140,Sling Blade,-1996,R,135 min,Drama            ,8,"85,480","85,480",Billy Bob Thornton,"['Billy Bob Thornton', 'Dwight Yoakam', 'J.T. Walsh', 'John Ritter']","Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town."
141,Secrets & Lies,-1996,R,136 min,"Comedy, Drama            ",8,"36,058","36,058",Mike Leigh,"['Timothy Spall', 'Brenda Blethyn', 'Phyllis Logan', 'Claire Rushbrook']","Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London."
142,12 Monkeys,-1995,R,129 min,"Mystery, Sci-Fi, Thriller            ",8,"5,66,539","5,66,539",Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Joseph Melito']","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
143,Ghost in the Shell,-1995,Not Rated,83 min,"Animation, Action, Crime            ",8,"1,24,727","1,24,727",Mamoru Oshii,"['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka', 'Kôichi Yamadera']",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
144,The Nightmare Before Christmas,-1993,PG,76 min,"Animation, Family, Fantasy            ",8,"2,84,169","2,84,169",Henry Selick,"['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
145,Groundhog Day,-1993,PG,101 min,"Comedy, Fantasy, Romance            ",8,"5,67,233","5,67,233",Harold Ramis,"['Bill Murray', 'Andie MacDowell', 'Chris Elliott', 'Stephen Tobolowsky']",A weatherman finds himself inexplicably living the same day over and over again.
146,"Blood In, Blood Out",-1993,R,180 min,"Crime, Drama            ",8,"28,161","28,161",Taylor Hackford,"['Damian Chapa', 'Jesse Borrego', 'Benjamin Bratt', 'Enrique Castillo']","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
147,Scent of a Woman,-1992,R,156 min,Drama            ,8,"2,51,348","2,51,348",Martin Brest,"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn', 'Gabrielle Anwar']","A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
148,Aladdin,-1992,G,90 min,"Animation, Adventure, Comedy            ",8,"3,62,286","3,62,286",Ron Clements,"['John Musker', 'Scott Weinger', 'Robin Williams', 'Linda Larkin']",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
149,JFK,-1991,R,189 min,"Drama, History, Thriller            ",8,"1,37,797","1,37,797",Oliver Stone,"['Kevin Costner', 'Gary Oldman', 'Jack Lemmon', 'Walter Matthau']",New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.
150,Beauty and the Beast,-1991,G,84 min,"Animation, Family, Fantasy            ",8,"4,09,224","4,09,224",Gary Trousdale,"['Kirk Wise', ""Paige O'Hara"", 'Robby Benson', 'Jesse Corti']",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
151,Dances with Wolves,-1990,PG-13,181 min,"Adventure, Drama, Western            ",8,"2,34,065","2,34,065",Kevin Costner,"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
152,Rain Man,-1988,R,133 min,Drama            ,8,"4,63,137","4,63,137",Barry Levinson,"['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino', 'Gerald R. Molen']",Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
153,Akira,-1988,R,124 min,"Animation, Action, Drama            ",8,"1,58,234","1,58,234",Katsuhiro Ôtomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda']",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.
154,Wings of Desire,-1987,PG-13,128 min,"Drama, Fantasy, Romance            ",8,"62,523","62,523",Wim Wenders,"['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander', 'Curt Bois']",An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.
155,Au Revoir les Enfants,-1987,PG,104 min,"Drama, War            ",8,"30,276","30,276",Louis Malle,"['Gaspard Manesse', 'Raphael Fejtö', 'Francine Racette', 'Stanislas Carré de Malberg']","A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
156,Castle in the Sky,-1986,PG,125 min,"Animation, Adventure, Drama            ",8,"1,44,205","1,44,205",Hayao Miyazaki,"['Mayumi Tanaka', 'Keiko Yokozawa', 'Kotoe Hatsui', 'Minori Terada']",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
157,The Terminator,-1984,R,107 min,"Action, Sci-Fi            ",8,"7,80,689","7,80,689",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Michael Biehn', 'Paul Winfield']","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
158,Gandhi,-1982,PG,191 min,"Biography, Drama, History            ",8,"2,14,573","2,14,573",Richard Attenborough,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']",The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
159,Kagemusha,-1980,PG,162 min,"Drama, History, War            ",8,"31,011","31,011",Akira Kurosawa,"['Tatsuya Nakadai', 'Tsutomu Yamazaki', ""Ken'ichi Hagiwara"", 'Jinpachi Nezu']",A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
160,Being There,-1979,PG,130 min,"Comedy, Drama            ",8,"63,892","63,892",Hal Ashby,"['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas', 'Jack Warden']","A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics."
161,Annie Hall,-1977,PG,93 min,"Comedy, Romance            ",8,"2,47,379","2,47,379",Woody Allen,"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane']",Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.
162,All the President's Men,-1976,PG,138 min,"Biography, Drama, History            ",8,"99,241","99,241",Alan J. Pakula,"['Dustin Hoffman', 'Robert Redford', 'Jack Warden', 'Martin Balsam']","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
163,Jaws,-1975,PG,124 min,"Adventure, Thriller            ",8,"5,33,550","5,33,550",Steven Spielberg,"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary']","When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
164,Dog Day Afternoon,-1975,R,125 min,"Biography, Crime, Drama            ",8,"2,29,739","2,29,739",Sidney Lumet,"['Al Pacino', 'John Cazale', 'Penelope Allen', 'Sully Boyar']","A man robs a bank to pay for his lover's operation, which turns into a hostage situation and a media circus."
165,Young Frankenstein,-1974,PG,106 min,Comedy            ,8,"1,39,859","1,39,859",Mel Brooks,"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman', 'Peter Boyle']","An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body."
166,Papillon,-1973,R,151 min,"Biography, Crime, Drama            ",8,"1,18,774","1,18,774",Franklin J. Schaffner,"['Steve McQueen', 'Dustin Hoffman', 'Victor Jory', 'Don Gordon']","A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape."
167,The Exorcist,-1973,R,122 min,Horror            ,8,"3,52,737","3,52,737",William Friedkin,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']","When a 12 year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her."
168,Sleuth,-1972,PG,138 min,"Mystery, Thriller            ",8,"43,927","43,927",Joseph L. Mankiewicz,"['Laurence Olivier', 'Michael Caine', 'Alec Cawthorne', 'John Matthews']","A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
169,The Last Picture Show,-1971,R,118 min,"Drama, Romance            ",8,"40,970","40,970",Peter Bogdanovich,"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd', 'Ben Johnson']","In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
170,Fiddler on the Roof,-1971,G,181 min,"Drama, Family, Musical            ",8,"38,074","38,074",Norman Jewison,"['Topol', 'Norma Crane', 'Leonard Frey', 'Molly Picon']","In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village."
171,The Conformist,-1970,R,113 min,Drama            ,8,"25,848","25,848",Bernardo Bertolucci,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Enzo Tarascio']","A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
172,Butch Cassidy and the Sundance Kid,-1969,PG,110 min,"Biography, Crime, Drama            ",8,"1,98,573","1,98,573",George Roy Hill,"['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin']","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
173,Rosemary's Baby,-1968,R,137 min,"Drama, Horror            ",8,"1,86,258","1,86,258",Roman Polanski,"['Mia Farrow', 'John Cassavetes', 'Ruth Gordon', 'Sidney Blackmer']",A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.
174,Planet of the Apes,-1968,G,112 min,"Adventure, Sci-Fi            ",8,"1,62,287","1,62,287",Franklin J. Schaffner,"['Charlton Heston', 'Roddy McDowall', 'Kim Hunter', 'Maurice Evans']","An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved."
175,The Graduate,-1967,PG,106 min,"Comedy, Drama, Romance            ",8,"2,48,946","2,48,946",Mike Nichols,"['Dustin Hoffman', 'Anne Bancroft', 'Katharine Ross', 'William Daniels']",A disillusioned college graduate finds himself torn between his older lover and her daughter.
176,Who's Afraid of Virginia Woolf?,-1966,Not Rated,131 min,Drama            ,8,"67,396","67,396",Mike Nichols,"['Elizabeth Taylor', 'Richard Burton', 'George Segal', 'Sandy Dennis']","A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
177,The Sound of Music,-1965,G,172 min,"Biography, Drama, Family            ",8,"1,97,672","1,97,672",Robert Wise,"['Julie Andrews', 'Christopher Plummer', 'Eleanor Parker', 'Richard Haydn']",A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
178,Doctor Zhivago,-1965,PG-13,197 min,"Drama, Romance, War            ",8,"67,960","67,960",David Lean,"['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger']","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
179,A Fistful of Dollars,-1964,R,99 min,"Action, Drama, Western            ",8,"1,91,067","1,91,067",Sergio Leone,"['Clint Eastwood', 'Gian Maria Volontè', 'Marianne Koch', 'Wolfgang Lukschy']","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
180,8½,-1963,Not Rated,138 min,Drama            ,8,"1,05,839","1,05,839",Federico Fellini,"['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale', 'Sandra Milo']",A harried movie director retreats into his memories and fantasies.
181,Vivre Sa Vie,-1962,Not Rated,85 min,Drama            ,8,"26,431","26,431",Jean-Luc Godard,"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe', 'Guylaine Schlumberger']",Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
182,The Hustler,-1961,Not Rated,134 min,"Drama, Sport            ",8,"73,731","73,731",Robert Rossen,"['Paul Newman', 'Jackie Gleason', 'Piper Laurie', 'George C. Scott']",An up-and-coming pool player plays a long-time champion in a single high-stakes match.
183,La Dolce Vita,-1960,Not Rated,174 min,"Comedy, Drama            ",8,"64,114","64,114",Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux']",A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.
