,Title,Relase,Audience Rating,Runtime,Genre,IMDB Rating,Votes,Box Office Earnings,Director,Actors,Description
92,The Dirty Dozen,-1967,Not Rated,150 min,"Action, Adventure, War            ",7.7,"65,460","65,460",Robert Aldrich,"['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'John Cassavetes']","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
93,Belle de Jour,-1967,R,100 min,Drama            ,7.7,"38,898","38,898",Luis Buñuel,"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli', 'Geneviève Page']",A frigid young housewife decides to spend her midweek afternoons as a prostitute.
94,A Man for All Seasons,-1966,G,120 min,"Biography, Drama, History            ",7.7,"30,341","30,341",Fred Zinnemann,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw', 'Leo McKern']","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
95,Repulsion,-1965,Not Rated,105 min,"Drama, Horror, Thriller            ",7.7,"47,387","47,387",Roman Polanski,"['Catherine Deneuve', 'Ian Hendry', 'John Fraser', 'Yvonne Furneaux']",A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.
96,Zulu,-1964,Not Rated,138 min,"Drama, History, War            ",7.7,"35,013","35,013",Cy Endfield,"['Stanley Baker', 'Jack Hawkins', 'Ulla Jacobsson', 'James Booth']",Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
97,Goldfinger,-1964,PG,110 min,"Action, Adventure, Thriller            ",7.7,"1,68,103","1,68,103",Guy Hamilton,"['Sean Connery', 'Gert Fröbe', 'Honor Blackman', 'Shirley Eaton']","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
98,The Birds,-1963,PG-13,119 min,"Drama, Horror, Mystery            ",7.7,"1,66,222","1,66,222",Alfred Hitchcock,"['Rod Taylor', 'Tippi Hedren', 'Jessica Tandy', 'Suzanne Pleshette']",A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
99,Cape Fear,-1962,Passed,106 min,"Drama, Thriller            ",7.7,"25,560","25,560",J. Lee Thompson,"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen', 'Lori Martin']",A lawyer's family is stalked by a man he once helped put in jail.
100,Breakfast at Tiffany's,-1961,Not Rated,115 min,"Comedy, Drama, Romance            ",7.7,"1,62,279","1,62,279",Blake Edwards,"['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen']","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
101,Peeping Tom,-1960,Not Rated,101 min,"Drama, Horror, Thriller            ",7.7,"29,815","29,815",Michael Powell,"['Karlheinz Böhm', 'Anna Massey', 'Moira Shearer', 'Maxine Audley']","A young man murders women, using a movie camera to film their dying expressions of terror."
102,The Magnificent Seven,-1960,Approved,128 min,"Action, Adventure, Western            ",7.7,"85,534","85,534",John Sturges,"['Yul Brynner', 'Steve McQueen', 'Charles Bronson', 'Eli Wallach']",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
103,Eyes Without a Face,-1960,Not Rated,90 min,"Drama, Horror            ",7.7,"25,952","25,952",Georges Franju,"['Pierre Brasseur', 'Alida Valli', 'Juliette Mayniel', 'Alexandre Rignault']","A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face."
104,Invasion of the Body Snatchers,-1956,Not Rated,80 min,"Drama, Horror, Sci-Fi            ",7.7,"43,648","43,648",Don Siegel,"['Kevin McCarthy', 'Dana Wynter', 'Larry Gates', 'King Donovan']",A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
105,Rebel Without a Cause,-1955,PG-13,111 min,Drama            ,7.7,"81,197","81,197",Nicholas Ray,"['James Dean', 'Natalie Wood', 'Sal Mineo', 'Jim Backus']","A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
106,The Ladykillers,-1955,Not Rated,91 min,"Comedy, Crime            ",7.7,"25,514","25,514",Alexander Mackendrick,"['Alec Guinness', 'Peter Sellers', 'Cecil Parker', 'Herbert Lom']",Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.
107,Sabrina,-1954,Passed,113 min,"Comedy, Drama, Romance            ",7.7,"57,357","57,357",Billy Wilder,"['Humphrey Bogart', 'Audrey Hepburn', 'William Holden', 'Walter Hampden']","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her."
108,The Quiet Man,-1952,Passed,129 min,"Comedy, Drama, Romance            ",7.7,"33,702","33,702",John Ford,"['John Wayne', ""Maureen O'Hara"", 'Barry Fitzgerald', 'Ward Bond']","A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
109,The Day the Earth Stood Still,-1951,G,92 min,"Drama, Sci-Fi            ",7.7,"75,156","75,156",Robert Wise,"['Michael Rennie', 'Patricia Neal', 'Hugh Marlowe', 'Sam Jaffe']",An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
110,The African Queen,-1951,PG,105 min,"Adventure, Drama, Romance            ",7.7,"69,926","69,926",John Huston,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull']","In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship."
111,Gilda,-1946,Not Rated,110 min,"Drama, Film-Noir, Romance            ",7.7,"26,971","26,971",Charles Vidor,"['Rita Hayworth', 'Glenn Ford', 'George Macready', 'Joseph Calleia']",A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.
112,The Invisible Man,-1933,Not Rated,71 min,"Horror, Sci-Fi            ",7.7,"29,096","29,096",James Whale,"['Claude Rains', 'Gloria Stuart', 'William Harrigan', 'Henry Travers']","A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
113,The Farewell,(I) (2019),PG,100 min,"Comedy, Drama            ",7.6,"43,077","43,077",Lulu Wang,"['Shuzhen Zhao', 'Awkwafina', 'X Mayo', 'Hong Lu']","A Chinese family discovers their grandmother has only a short while left to live and decide to keep her in the dark, scheduling a wedding to gather before she dies."
114,Searching,(III) (2018),PG-13,102 min,"Drama, Mystery, Thriller            ",7.6,"1,28,486","1,28,486",Aneesh Chaganty,"['John Cho', 'Debra Messing', 'Joseph Lee', 'Michelle La']","After his 16-year-old daughter goes missing, a desperate father breaks into her laptop to look for clues to find her."
115,Cold War,-2018,R,89 min,"Drama, History, Music            ",7.6,"45,126","45,126",Pawel Pawlikowski,"['Joanna Kulig', 'Tomasz Kot', 'Borys Szyc', 'Agata Kulesza']","In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France."
116,Loveless,-2017,R,127 min,Drama            ,7.6,"28,085","28,085",Andrey Zvyagintsev,"['Maryana Spivak', 'Aleksey Rozin', 'Matvey Novikov', 'Marina Vasileva']",A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.
117,The Florida Project,-2017,R,111 min,Drama            ,7.6,"88,448","88,448",Sean Baker,"['Brooklynn Prince', 'Bria Vinaite', 'Willem Dafoe', 'Christopher Rivera']","Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World."
118,Gifted,-2017,PG-13,101 min,Drama            ,7.6,"94,964","94,964",Marc Webb,"['Chris Evans', 'Mckenna Grace', 'Lindsay Duncan', 'Octavia Spencer']","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother."
119,The Peanut Butter Falcon,-2019,PG-13,97 min,"Comedy, Drama            ",7.6,"44,088","44,088",Tyler Nilson,"['Michael Schwartz', 'Zack Gottsagen', 'Ann Owens', 'Dakota Johnson']",Zak runs away from his care home to make his dream of becoming a wrestler come true.
120,Victoria,(II) (2015),Not Rated,138 min,"Crime, Drama, Romance            ",7.6,"50,338","50,338",Sebastian Schipper,"['Laia Costa', 'Frederick Lau', 'Franz Rogowski', 'Burak Yigit']",A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.
121,Mustang,-2015,PG-13,97 min,Drama            ,7.6,"34,330","34,330",Deniz Gamze Ergüven,"['Günes Sensoy', 'Doga Zeynep Doguslu', 'Tugba Sunguroglu', 'Elit Iscan']","When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged."
122,Guardians of the Galaxy Vol. 2,-2017,PG-13,136 min,"Action, Adventure, Comedy            ",7.6,"5,46,145","5,46,145",James Gunn,"['Chris Pratt', 'Zoe Saldana', 'Dave Bautista', 'Vin Diesel']","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
123,Baby Driver,-2017,R,113 min,"Action, Crime, Drama            ",7.6,"4,18,312","4,18,312",Edgar Wright,"['Ansel Elgort', 'Jon Bernthal', 'Jon Hamm', 'Eiza González']","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail."
124,Only the Brave,-2017,PG-13,134 min,"Action, Biography, Drama            ",7.6,"54,376","54,376",Joseph Kosinski,"['Josh Brolin', 'Miles Teller', 'Jeff Bridges', 'Jennifer Connelly']","Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire."
125,Bridge of Spies,-2015,PG-13,142 min,"Drama, History, Thriller            ",7.6,"2,79,836","2,79,836",Steven Spielberg,"['Tom Hanks', 'Mark Rylance', 'Alan Alda', 'Amy Ryan']","During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
126,Incredibles 2,-2018,PG,118 min,"Animation, Action, Adventure            ",7.6,"2,37,344","2,37,344",Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner']","The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
127,Moana,(I) (2016),PG,107 min,"Animation, Adventure, Comedy            ",7.6,"2,58,245","2,58,245",Ron Clements,"['John Musker', 'Don Hall', 'Chris Williams', ""Auli'i Cravalho""]","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
128,Sicario,-2015,R,121 min,"Action, Crime, Drama            ",7.6,"3,58,137","3,58,137",Denis Villeneuve,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro', 'Jon Bernthal']",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
129,Creed,(II) (2015),PG-13,133 min,"Drama, Sport            ",7.6,"2,40,699","2,40,699",Ryan Coogler,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad']","The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
130,Leviathan,-2014,R,140 min,"Crime, Drama            ",7.6,"47,686","47,686",Andrey Zvyagintsev,"['Aleksey Serebryakov', 'Elena Lyadova', 'Roman Madyanov', 'Vladimir Vdovichenkov']","In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family."
131,Hell or High Water,(II) (2016),R,102 min,"Action, Crime, Drama            ",7.6,"1,96,661","1,96,661",David Mackenzie,"['Chris Pine', 'Ben Foster', 'Jeff Bridges', 'Gil Birmingham']",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
132,Philomena,-2013,PG-13,98 min,"Biography, Comedy, Drama            ",7.6,"92,495","92,495",Stephen Frears,"['Judi Dench', 'Steve Coogan', 'Sophie Kennedy Clark', 'Mare Winningham']","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
133,Dawn of the Planet of the Apes,-2014,PG-13,130 min,"Action, Adventure, Drama            ",7.6,"4,05,479","4,05,479",Matt Reeves,"['Gary Oldman', 'Keri Russell', 'Andy Serkis', 'Kodi Smit-McPhee']",A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.
134,The Body,-2012,,108 min,"Mystery, Thriller            ",7.6,"53,809","53,809",Oriol Paulo,"['Jose Coronado', 'Hugo Silva', 'Belén Rueda', 'Aura Garrido']",A detective searches for the body of a femme fatale which has gone missing from a morgue.
135,The Raid: Redemption,-2011,R,101 min,"Action, Thriller            ",7.6,"1,86,393","1,86,393",Gareth Evans,"['Iko Uwais', 'Ananda George', 'Ray Sahetapy', 'Donny Alamsyah']",A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
136,End of Watch,-2012,R,109 min,"Action, Crime, Drama            ",7.6,"2,23,522","2,23,522",David Ayer,"['Jake Gyllenhaal', 'Michael Peña', 'Anna Kendrick', 'America Ferrera']","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves."
137,The Secret World of Arrietty,-2010,G,94 min,"Animation, Adventure, Family            ",7.6,"76,798","76,798",Hiromasa Yonebayashi,"['Bridgit Mendler', 'Amy Poehler', 'Will Arnett', 'Saoirse Ronan']","The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered."
138,True Grit,-2010,PG-13,110 min,"Drama, Western            ",7.6,"3,03,390","3,03,390",Ethan Coen,"['Joel Coen', 'Jeff Bridges', 'Matt Damon', 'Hailee Steinfeld']",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
139,In a Better World,-2010,R,118 min,"Drama, Romance            ",7.6,"37,887","37,887",Susanne Bier,"['Mikael Persbrandt', 'Trine Dyrholm', 'Markus Rygaard', 'Wil Johnson']","The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait."
140,Despicable Me,-2010,PG,95 min,"Animation, Comedy, Family            ",7.6,"4,89,455","4,89,455",Pierre Coffin,"['Chris Renaud', 'Steve Carell', 'Jason Segel', 'Russell Brand']","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
141,50/50,-2011,R,100 min,"Comedy, Drama, Romance            ",7.6,"3,11,077","3,11,077",Jonathan Levine,"['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick', 'Bryce Dallas Howard']","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
142,Kick-Ass,-2010,R,117 min,"Action, Comedy, Crime            ",7.6,"5,16,366","5,16,366",Matthew Vaughn,"['Aaron Taylor-Johnson', 'Nicolas Cage', 'Chloë Grace Moretz', 'Garrett M. Brown']","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
143,Cell 211,-2009,,113 min,"Action, Adventure, Crime            ",7.6,"62,662","62,662",Daniel Monzón,"['Luis Tosar', 'Alberto Ammann', 'Antonio Resines', 'Manuel Morón']","The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal."
144,Moneyball,-2011,PG-13,133 min,"Biography, Drama, Sport            ",7.6,"3,51,904","3,51,904",Bennett Miller,"['Brad Pitt', 'Robin Wright', 'Jonah Hill', 'Philip Seymour Hoffman']",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
145,The Skin I Live In,-2011,R,120 min,"Drama, Horror, Thriller            ",7.6,"1,34,212","1,34,212",Pedro Almodóvar,"['Antonio Banderas', 'Elena Anaya', 'Jan Cornet', 'Marisa Paredes']","A brilliant plastic surgeon, haunted by past tragedies, creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession."
146,Zombieland,-2009,R,88 min,"Adventure, Comedy, Fantasy            ",7.6,"5,08,462","5,08,462",Ruben Fleischer,"['Jesse Eisenberg', 'Emma Stone', 'Woody Harrelson', 'Abigail Breslin']","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
147,The Wave,-2008,Not Rated,107 min,"Drama, Thriller            ",7.6,"1,00,234","1,00,234",Dennis Gansel,"['Jürgen Vogel', 'Frederick Lau', 'Max Riemelt', 'Jennifer Ulrich']",A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.
148,Sherlock Holmes,-2009,PG-13,128 min,"Action, Adventure, Mystery            ",7.6,"5,72,275","5,72,275",Guy Ritchie,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams', 'Mark Strong']",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
149,5 Centimeters Per Second,-2007,TV-PG,63 min,"Animation, Drama, Family            ",7.6,"48,810","48,810",Makoto Shinkai,"['Kenji Mizuhashi', 'Yoshimi Kondou', 'Satomi Hanamura', 'Ayaka Onoue']","Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love."
150,The Hurt Locker,-2008,R,131 min,"Drama, Thriller, War            ",7.6,"4,12,654","4,12,654",Kathryn Bigelow,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Guy Pearce']","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."
151,The Blind Side,-2009,PG-13,129 min,"Biography, Drama, Sport            ",7.6,"2,84,475","2,84,475",John Lee Hancock,"['Quinton Aaron', 'Sandra Bullock', 'Tim McGraw', 'Jae Head']","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
152,The Visitor,(I) (2007),PG-13,104 min,Drama            ,7.6,"41,101","41,101",Tom McCarthy,"['Richard Jenkins', 'Haaz Sleiman', 'Danai Gurira', 'Hiam Abbass']",A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.
153,Superbad,-2007,R,113 min,Comedy            ,7.6,"5,09,389","5,09,389",Greg Mottola,"['Michael Cera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'Bill Hader']",Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
154,Seven Pounds,-2008,PG-13,123 min,Drama            ,7.6,"2,81,492","2,81,492",Gabriele Muccino,"['Will Smith', 'Rosario Dawson', 'Woody Harrelson', 'Michael Ealy']",A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.
155,Eastern Promises,-2007,R,100 min,"Action, Crime, Drama            ",7.6,"2,23,159","2,23,159",David Cronenberg,"['Naomi Watts', 'Viggo Mortensen', 'Armin Mueller-Stahl', 'Josef Altin']",A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.
156,Stardust,-2007,PG-13,127 min,"Adventure, Family, Fantasy            ",7.6,"2,49,083","2,49,083",Matthew Vaughn,"['Charlie Cox', 'Claire Danes', 'Sienna Miller', 'Ian McKellen']","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
157,The Secret of Kells,-2009,Not Rated,75 min,"Animation, Adventure, Family            ",7.6,"30,264","30,264",Tomm Moore,"['Nora Twomey', 'Evan McGuire', 'Brendan Gleeson', 'Mick Lally']","A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers."
158,Inside Man,-2006,R,129 min,"Crime, Drama, Mystery            ",7.6,"3,30,125","3,30,125",Spike Lee,"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
159,Gone Baby Gone,-2007,R,114 min,"Crime, Drama, Mystery            ",7.6,"2,44,597","2,44,597",Ben Affleck,"['Morgan Freeman', 'Ed Harris', 'Casey Affleck', 'Michelle Monaghan']","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
160,Lady Vengeance,-2005,R,115 min,"Crime, Drama, Thriller            ",7.6,"69,821","69,821",Chan-wook Park,"['Yeong-ae Lee', 'Min-sik Choi', 'Shi-hoo Kim', 'Yea-young Kwon']","After being wrongfully imprisoned for thirteen years and having her child taken away from her, a woman seeks revenge through increasingly brutal means."
161,La Vie En Rose,-2007,PG-13,140 min,"Biography, Drama, Music            ",7.6,"81,102","81,102",Olivier Dahan,"['Marion Cotillard', 'Sylvie Testud', 'Pascal Greggory', 'Emmanuelle Seigner']","Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy."
162,Fearless,-2006,PG-13,104 min,"Action, Biography, Drama            ",7.6,"71,872","71,872",Ronny Yu,"['Jet Li', 'Li Sun', 'Yong Dong', 'Yun Qu']","A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation."
163,The Illusionist,-2006,PG-13,110 min,"Drama, Fantasy, History            ",7.6,"3,49,614","3,49,614",Neil Burger,"['Edward Norton', 'Jessica Biel', 'Paul Giamatti', 'Rufus Sewell']","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing."
164,Volver,(I) (2006),R,121 min,"Comedy, Drama            ",7.6,"92,727","92,727",Pedro Almodóvar,"['Penélope Cruz', 'Carmen Maura', 'Lola Dueñas', 'Blanca Portillo']","After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life."
165,Thank You for Smoking,-2005,R,92 min,"Comedy, Drama            ",7.6,"2,10,816","2,10,816",Jason Reitman,"['Aaron Eckhart', 'Cameron Bright', 'Maria Bello', 'Joan Lunden']","Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son."
166,Dead Man's Shoes,-2004,Not Rated,90 min,"Crime, Drama, Thriller            ",7.6,"48,389","48,389",Shane Meadows,"['Paddy Considine', 'Gary Stretch', 'Toby Kebbell', 'Stuart Wolfenden']",A disaffected soldier returns to his hometown to get even with the thugs who brutalized his mentally-challenged brother years ago.
167,Harry Potter and the Half-Blood Prince,-2009,PG,153 min,"Action, Adventure, Family            ",7.6,"4,55,226","4,55,226",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']","As Harry Potter (Daniel Radcliffe) begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's (Ralph Fiennes') dark past."
168,300,-2006,R,117 min,"Action, Drama            ",7.6,"7,20,414","7,20,414",Zack Snyder,"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Dominic West']",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
169,Match Point,-2005,R,124 min,"Drama, Romance, Thriller            ",7.6,"2,02,143","2,02,143",Woody Allen,"['Scarlett Johansson', 'Jonathan Rhys Meyers', 'Emily Mortimer', 'Matthew Goode']","At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
170,Watchmen,-2009,R,162 min,"Action, Drama, Mystery            ",7.6,"4,88,715","4,88,715",Zack Snyder,"['Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino', 'Malin Akerman']","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
171,Lord of War,-2005,R,122 min,"Action, Crime, Drama            ",7.6,"2,89,020","2,89,020",Andrew Niccol,"['Nicolas Cage', 'Ethan Hawke', 'Jared Leto', 'Bridget Moynahan']",An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.
172,Saw,-2004,R,103 min,"Horror, Mystery            ",7.6,"3,70,529","3,70,529",James Wan,"['Cary Elwes', 'Leigh Whannell', 'Danny Glover', 'Ken Leung']","Two strangers, who awaken in a room with no recollection of how they got there, soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
173,"Synecdoche, New York",-2008,R,124 min,"Comedy, Drama            ",7.6,"78,950","78,950",Charlie Kaufman,"['Philip Seymour Hoffman', 'Samantha Morton', 'Michelle Williams', 'Catherine Keener']","A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play."
174,Mysterious Skin,-2004,Unrated,105 min,Drama            ,7.6,"64,748","64,748",Gregg Araki,"['Brady Corbet', 'Joseph Gordon-Levitt', 'Elisabeth Shue', 'Chase Ellison']","A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth."
175,Love Me If You Dare,-2003,R,93 min,"Comedy, Drama, Romance            ",7.6,"66,147","66,147",Yann Samuell,"['Guillaume Canet', 'Marion Cotillard', 'Thibault Verhaeghe', 'Joséphine Lebas-Joly']","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another."
176,A Very Long Engagement,-2004,R,133 min,"Drama, Mystery, Romance            ",7.6,"70,049","70,049",Jean-Pierre Jeunet,"['Audrey Tautou', 'Gaspard Ulliel', 'Jodie Foster', 'Dominique Pinon']","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One."
177,The Station Agent,-2003,R,89 min,"Comedy, Drama            ",7.6,"66,404","66,404",Tom McCarthy,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']","When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss."
178,Love Actually,-2003,R,135 min,"Comedy, Drama, Romance            ",7.6,"4,14,484","4,14,484",Richard Curtis,"['Hugh Grant', 'Martine McCutcheon', 'Liam Neeson', 'Laura Linney']","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
179,Sympathy for Mr. Vengeance,-2002,R,129 min,"Crime, Drama, Thriller            ",7.6,"60,681","60,681",Chan-wook Park,"['Kang-ho Song', 'Ha-kyun Shin', 'Doona Bae', 'Ji-Eun Lim']","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant."
180,25th Hour,-2002,R,135 min,Drama            ,7.6,"1,67,470","1,67,470",Spike Lee,"['Edward Norton', 'Barry Pepper', 'Philip Seymour Hoffman', 'Rosario Dawson']","Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term."
181,The Butterfly Effect,-2004,R,113 min,"Drama, Sci-Fi, Thriller            ",7.6,"4,42,705","4,42,705",Eric Bress,"['J. Mackye Gruber', 'Ashton Kutcher', 'Amy Smart', 'Melora Walters']","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
